time,MLSSbasin5,TSSras,TSSeffluent
2024-11-13 13:00:00.288000000,553.80435,971.15385,14.2188
2024-11-14 00:00:00.000000000,526.31579,,12.6984
2024-11-15 10:00:00.288000000,528.08016,,10.9093
2024-11-18 09:40:00.192000000,704.24837,,6.3904
2024-11-19 13:00:00.288000000,705.43735,,12.6586
2024-11-20 13:00:00.288000000,755.35714,1413.04348,6.4843
2024-11-21 10:00:00.288000000,759.14634,,1.7647
2024-11-22 09:40:00.192000000,869.61806,,2.9986
2024-11-25 09:40:00.192000000,1007.8125,,5.4522
2024-11-26 09:45:00.000000000,1048.27343,,2.2951
2024-11-27 13:20:00.384000000,1031.94444,1914.62704,1.3749
2024-11-28 10:00:00.288000000,1207.87546,,4.1389
2024-11-29 11:37:00.192000000,982.52688,,3.1036
2024-12-02 09:29:59.712000000,1052.38095,,1.8314
2024-12-03 08:55:00.192000000,1027.77778,,4.4023
2024-12-04 13:00:00.288000000,1258.88031,2475.24155,1.743
2024-12-05 08:50:00.384000000,1239.28571,,6.5714
2024-12-09 10:34:00.192000000,660.44495,,1.731
2024-12-10 08:50:00.384000000,1243.91856,,0.0
2024-12-11 13:00:00.288000000,1084.09091,2385.71429,11.1796
2024-12-13 08:50:00.384000000,922.02381,,1.731
2024-12-16 12:40:00.192000000,1293.76658,,13.6243
2024-12-18 13:09:59.904000000,1243.75,1880.70101,1.3333
2025-01-08 13:09:59.904000000,2121.95122,3807.40741,1.1236
2025-01-16 13:05:00.096000000,1870.21073,3390.22436,0.0
2025-01-22 13:14:59.712000000,2273.92344,4466.39785,7.62596
2025-01-29 13:00:00.288000000,1834.99783,3679.48718,5.4419
2025-02-05 13:00:00.288000000,1893.31437,3537.22084,0.60241
2025-02-07 09:00:00.000000000,2023.80952,,0.0
2025-02-10 08:50:00.384000000,2165.00747,,1.25
2025-02-12 13:00:00.288000000,2405.67446,4567.18147,0.0
2025-02-17 09:00:00.000000000,1629.16667,,9.96399
2025-02-19 13:00:00.288000000,1895.11654,3882.33138,7.46992
